City_code,City,Province_code,Province
1891,Dantumadiel,21,Friesland
0503,Delft,28,Zuid-Holland
0010,Delfzijl,20,Groningen
0762,Deurne,30,Noord-Brabant
0150,Deventer,23,Overijssel
0384,Diemen,27,Noord-Holland
1774,Dinkelland,23,Overijssel
0221,Doesburg,25,Gelderland
0222,Doetinchem,25,Gelderland
0766,Dongen,30,Noord-Brabant
0505,Dordrecht,28,Zuid-Holland
0498,Drechterland,27,Noord-Holland
1719,Drimmelen,30,Noord-Brabant
0303,Dronten,24,Flevoland
0225,Druten,25,Gelderland
0226,Duiven,25,Gelderland
1711,Echt-Susteren,31,Limburg
0385,Edam-Volendam,27,Noord-Holland
0228,Ede,25,Gelderland
0317,Eemnes,26,Utrecht
0770,Eersel,30,Noord-Brabant
1903,Eijsden-Margraten,31,Limburg
0772,Eindhoven,30,Noord-Brabant
0230,Elburg,25,Gelderland
0114,Emmen,22,Drenthe
0388,Enkhuizen,27,Noord-Holland
0153,Enschede,23,Overijssel
0232,Epe,25,Gelderland
0233,Ermelo,25,Gelderland
0777,Etten-Leur,30,Noord-Brabant
1940,De Fryske Marren,21,Friesland
0779,Geertruidenberg,30,Noord-Brabant
1771,Geldrop-Mierlo,30,Noord-Brabant
1652,Gemert-Bakel,30,Noord-Brabant
0907,Gennep,31,Limburg
0784,Gilze en Rijen,30,Noord-Brabant
1924,Goeree-Overflakkee,28,Zuid-Holland
0664,Goes,29,Zeeland
0785,Goirle,30,Noord-Brabant
1942,Gooise Meren,27,Noord-Holland
0512,Gorinchem,28,Zuid-Holland
0513,Gouda,28,Zuid-Holland
0786,Grave,30,Noord-Brabant
0518,'s-Gravenhage,28,Zuid-Holland
0014,Groningen,20,Groningen
1729,Gulpen-Wittem,31,Limburg
0158,Haaksbergen,23,Overijssel
0788,Haaren,30,Noord-Brabant
0392,Haarlem,27,Noord-Holland
0394,Haarlemmermeer,27,Noord-Holland
1655,Halderberge,30,Noord-Brabant
0160,Hardenberg,23,Overijssel
0243,Harderwijk,25,Gelderland
0523,Hardinxveld-Giessendam,28,Zuid-Holland
0072,Harlingen,21,Friesland
0244,Hattem,25,Gelderland
0396,Heemskerk,27,Noord-Holland
0397,Heemstede,27,Noord-Holland
0246,Heerde,25,Gelderland
0074,Heerenveen,21,Friesland
0398,Heerhugowaard,27,Noord-Holland
0917,Heerlen,31,Limburg
1658,Heeze-Leende,30,Noord-Brabant
0399,Heiloo,27,Noord-Holland
0400,Den Helder,27,Noord-Holland
0163,Hellendoorn,23,Overijssel
0530,Hellevoetsluis,28,Zuid-Holland
0794,Helmond,30,Noord-Brabant
0531,Hendrik-Ido-Ambacht,28,Zuid-Holland
0164,Hengelo,23,Overijssel
0796,'s-Hertogenbosch,30,Noord-Brabant
0252,Heumen,25,Gelderland
0797,Heusden,30,Noord-Brabant
0534,Hillegom,28,Zuid-Holland
0798,Hilvarenbeek,30,Noord-Brabant
0402,Hilversum,27,Noord-Holland
1963,Hoeksche Waard,28,Zuid-Holland
1735,Hof van Twente,23,Overijssel
1966,Het Hogeland,20,Groningen
1911,Hollands Kroon,27,Noord-Holland
0118,Hoogeveen,22,Drenthe
0405,Hoorn,27,Noord-Holland
1507,Horst aan de Maas,31,Limburg
0321,Houten,26,Utrecht
0406,Huizen,27,Noord-Holland
0677,Hulst,29,Zeeland
0353,IJsselstein,26,Utrecht
1884,Kaag en Braassem,28,Zuid-Holland
0166,Kampen,23,Overijssel
0678,Kapelle,29,Zeeland
0537,Katwijk,28,Zuid-Holland
0928,Kerkrade,31,Limburg
1598,Koggenland,27,Noord-Holland
0542,Krimpen aan den IJssel,28,Zuid-Holland
1931,Krimpenerwaard,28,Zuid-Holland
1659,Laarbeek,30,Noord-Brabant
1685,Landerd,30,Noord-Brabant
0882,Landgraaf,31,Limburg
0415,Landsmeer,27,Noord-Holland
0416,Langedijk,27,Noord-Holland
1621,Lansingerland,28,Zuid-Holland
0417,Laren,27,Noord-Holland
0080,Leeuwarden,21,Friesland
0546,Leiden,28,Zuid-Holland
0547,Leiderdorp,28,Zuid-Holland
1916,Leidschendam-Voorburg,28,Zuid-Holland
0995,Lelystad,24,Flevoland
1640,Leudal,31,Limburg
0327,Leusden,26,Utrecht
1705,Lingewaard,25,Gelderland
0553,Lisse,28,Zuid-Holland
0262,Lochem,25,Gelderland
0809,Loon op Zand,30,Noord-Brabant
0331,Lopik,26,Utrecht
0024,Loppersum,20,Groningen
0168,Losser,23,Overijssel
0263,Maasdriel,25,Gelderland
1641,Maasgouw,31,Limburg
0556,Maassluis,28,Zuid-Holland
0935,Maastricht,31,Limburg
0420,Medemblik,27,Noord-Holland
0938,Meerssen,31,Limburg
1948,Meierijstad,30,Noord-Brabant
0119,Meppel,22,Drenthe
0687,Middelburg,29,Zeeland
1842,Midden-Delfland,28,Zuid-Holland
1731,Midden-Drenthe,22,Drenthe
1952,Midden-Groningen,20,Groningen
0815,Mill en Sint Hubert,30,Noord-Brabant
1709,Moerdijk,30,Noord-Brabant
1978,Molenlanden,28,Zuid-Holland
1955,Montferland,25,Gelderland
0335,Montfoort,26,Utrecht
0944,Mook en Middelaar,31,Limburg
1740,Neder-Betuwe,25,Gelderland
0946,Nederweert,31,Limburg
0356,Nieuwegein,26,Utrecht
0569,Nieuwkoop,28,Zuid-Holland
0267,Nijkerk,25,Gelderland
0268,Nijmegen,25,Gelderland
1930,Nissewaard,28,Zuid-Holland
1970,Noardeast-Fryslân,21,Friesland
1695,Noord-Beveland,29,Zeeland
1699,Noordenveld,22,Drenthe
0171,Noordoostpolder,24,Flevoland
0575,Noordwijk,28,Zuid-Holland
0820,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant
0302,Nunspeet,25,Gelderland
0579,Oegstgeest,28,Zuid-Holland
0823,Oirschot,30,Noord-Brabant
0824,Oisterwijk,30,Noord-Brabant
1895,Oldambt,20,Groningen
0269,Oldebroek,25,Gelderland
0173,Oldenzaal,23,Overijssel
1773,Olst-Wijhe,23,Overijssel
0175,Ommen,23,Overijssel
1586,Oost Gelre,25,Gelderland
0826,Oosterhout,30,Noord-Brabant
0085,Ooststellingwerf,21,Friesland
0431,Oostzaan,27,Noord-Holland
0432,Opmeer,27,Noord-Holland
0086,Opsterland,21,Friesland
0828,Oss,30,Noord-Brabant
1509,Oude IJsselstreek,25,Gelderland
0437,Ouder-Amstel,27,Noord-Holland
0589,Oudewater,26,Utrecht
1734,Overbetuwe,25,Gelderland
0590,Papendrecht,28,Zuid-Holland
1894,Peel en Maas,31,Limburg
0765,Pekela,20,Groningen
1926,Pijnacker-Nootdorp,28,Zuid-Holland
0439,Purmerend,27,Noord-Holland
0273,Putten,25,Gelderland
0177,Raalte,23,Overijssel
0703,Reimerswaal,29,Zeeland
0274,Renkum,25,Gelderland
0339,Renswoude,26,Utrecht
1667,Reusel-De Mierden,30,Noord-Brabant
0275,Rheden,25,Gelderland
0340,Rhenen,26,Utrecht
0597,Ridderkerk,28,Zuid-Holland
1742,Rijssen-Holten,23,Overijssel
0603,Rijswijk,28,Zuid-Holland
1669,Roerdalen,31,Limburg
0957,Roermond,31,Limburg
0736,De Ronde Venen,26,Utrecht
1674,Roosendaal,30,Noord-Brabant
0599,Rotterdam,28,Zuid-Holland
0277,Rozendaal,25,Gelderland
0840,Rucphen,30,Noord-Brabant
0441,Schagen,27,Noord-Holland
0279,Scherpenzeel,25,Gelderland
0606,Schiedam,28,Zuid-Holland
0088,Schiermonnikoog,21,Friesland
1676,Schouwen-Duiveland,29,Zeeland
0965,Simpelveld,31,Limburg
1702,Sint Anthonis,30,Noord-Brabant
0845,Sint-Michielsgestel,30,Noord-Brabant
1883,Sittard-Geleen,31,Limburg
0610,Sliedrecht,28,Zuid-Holland
1714,Sluis,29,Zeeland
0090,Smallingerland,21,Friesland
0342,Soest,26,Utrecht
0847,Someren,30,Noord-Brabant
0848,Son en Breugel,30,Noord-Brabant
0037,Stadskanaal,20,Groningen
0180,Staphorst,23,Overijssel
0532,Stede Broec,27,Noord-Holland
0851,Steenbergen,30,Noord-Brabant
1708,Steenwijkerland,23,Overijssel
0971,Stein,31,Limburg
1904,Stichtse Vecht,26,Utrecht
1900,Súdwest-Fryslân,21,Friesland
0715,Terneuzen,29,Zeeland
0093,Terschelling,21,Friesland
0448,Texel,27,Noord-Holland
1525,Teylingen,28,Zuid-Holland
0716,Tholen,29,Zeeland
0281,Tiel,25,Gelderland
0855,Tilburg,30,Noord-Brabant
0183,Tubbergen,23,Overijssel
1700,Twenterand,23,Overijssel
1730,Tynaarlo,22,Drenthe
0737,Tytsjerksteradiel,21,Friesland
0856,Uden,30,Noord-Brabant
0450,Uitgeest,27,Noord-Holland
0451,Uithoorn,27,Noord-Holland
0184,Urk,24,Flevoland
0344,Utrecht,26,Utrecht
1581,Utrechtse Heuvelrug,26,Utrecht
0981,Vaals,31,Limburg
0994,Valkenburg aan de Geul,31,Limburg
0858,Valkenswaard,30,Noord-Brabant
0047,Veendam,20,Groningen
0345,Veenendaal,26,Utrecht
0717,Veere,29,Zeeland
0861,Veldhoven,30,Noord-Brabant
0453,Velsen,27,Noord-Holland
0983,Venlo,31,Limburg
0984,Venray,31,Limburg
1961,Vijfheerenlanden,26,Utrecht
0622,Vlaardingen,28,Zuid-Holland
0096,Vlieland,21,Friesland
0718,Vlissingen,29,Zeeland
0986,Voerendaal,31,Limburg
0626,Voorschoten,28,Zuid-Holland
0285,Voorst,25,Gelderland
0865,Vught,30,Noord-Brabant
1949,Waadhoeke,21,Friesland
0866,Waalre,30,Noord-Brabant
0867,Waalwijk,30,Noord-Brabant
0627,Waddinxveen,28,Zuid-Holland
0289,Wageningen,25,Gelderland
0629,Wassenaar,28,Zuid-Holland
0852,Waterland,27,Noord-Holland
0988,Weert,31,Limburg
0457,Weesp,27,Noord-Holland
1960,West Betuwe,25,Gelderland
0668,West Maas en Waal,25,Gelderland
1969,Westerkwartier,20,Groningen
1701,Westerveld,22,Drenthe
0293,Westervoort,25,Gelderland
1950,Westerwolde,20,Groningen
1783,Westland,28,Zuid-Holland
0098,Weststellingwerf,21,Friesland
0614,Westvoorne,28,Zuid-Holland
0189,Wierden,23,Overijssel
0296,Wijchen,25,Gelderland
1696,Wijdemeren,27,Noord-Holland
0352,Wijk bij Duurstede,26,Utrecht
0294,Winterswijk,25,Gelderland
0873,Woensdrecht,30,Noord-Brabant
0632,Woerden,26,Utrecht
1690,De Wolden,22,Drenthe
0880,Wormerland,27,Noord-Holland
0351,Woudenberg,26,Utrecht
0479,Zaanstad,27,Noord-Holland
0297,Zaltbommel,25,Gelderland
0473,Zandvoort,27,Noord-Holland
0050,Zeewolde,24,Flevoland
0355,Zeist,26,Utrecht
0299,Zevenaar,25,Gelderland
0637,Zoetermeer,28,Zuid-Holland
0638,Zoeterwoude,28,Zuid-Holland
1892,Zuidplas,28,Zuid-Holland
0879,Zundert,30,Noord-Brabant
0301,Zutphen,25,Gelderland
1896,Zwartewaterland,23,Overijssel
0642,Zwijndrecht,28,Zuid-Holland
0193,Zwolle,23,Overijssel
